Index,area,county,longitude,latitude,price,bathrooms,beds,ber_classification,property_type,surface_area,model
23,Killinick,Wexford,-6.492553,52.241617,275000,3,4,C2,detached,,283100.1422
24,New Ross,Wexford,-6.935774,52.389191,199000,1,4,C3,semi-detached,,284536.0413
25,Rosslare Strand,Wexford,-6.382346,52.265694,549000,3,4,C1,detached,158.3,322626.0633
26,Wexford Town,Wexford,-6.494104,52.333098,215000,2,3,C3,detached,,285756.5957
27,Wexford Town,Wexford,-6.46856,52.342417,75000,1,2,G,semi-detached,56,302069.2001
28,Enniscorthy,Wexford,-6.570299836,52.49934788,135000,1,3,G,terraced,,287229.7131
29,Riverchapel,Wexford,-6.238354,52.641858,135000,2,2,D1,terraced,79,308248.2123
30,Wexford Town,Wexford,-6.482908,52.33441,165000,1,3,D2,semi-detached,,286981.2433
31,Enniscorthy,Wexford,-6.649044,52.382268,149000,1,3,G,detached,48,298463.3522
32,Gorey,Wexford,-6.240034,52.711148,385000,3,6,C1,detached,236,341317.5787
33,New Ross,Wexford,-6.946246,52.331056,299950,2,4,D1,detached,162.6,323294.906
34,Oilgate,Wexford,-6.532752,52.43847,339000,4,3,C2,detached,,283599.7686
35,Riverchapel,Wexford,-6.232659,52.637059,155000,2,4,D1,detached,123,316748.9692
36,Riverchapel,Wexford,-6.231725985,52.63826457,135000,2,3,D1,terraced,,287559.7647
37,Gorey,Wexford,-6.493459,52.685101,425000,3,5,C1,detached,232.2,340678.1686
38,Courtown,Wexford,-6.234977637,52.64676622,399000,3,4,C3,detached,200,334606.5413
39,Ballycullane,Wexford,-6.84286,52.284226,137500,2,4,C1,semi-detached,115,311716.0793
40,Kilrane,Wexford,-6.325518,52.230515,225000,1,2,E2,semi-detached,76.9,307328.2493
41,Taghmon,Wexford,-6.653066,52.322351,145000,2,3,E1,detached,,285218.7748
42,New Ross,Wexford,-6.943689,52.392134,80000,1,4,G,terraced,86.94,305994.52
43,New Ross,Wexford,-6.81044,52.37852,370000,3,4,C1,detached,190,329459.1123
44,Gorey,Wexford,-6.279951,52.672002,495000,3,4,D2,detached,230,341954.4416
45,Kilmore Quay,Wexford,-6.584872,52.176947,235000,2,3,D1,detached,,284971.7017
46,Wexford Town,Wexford,-6.452799,52.331598,149500,4,4,G,terraced,,282327.6724
47,Killinick,Wexford,-6.446666,52.257024,375000,5,6,B3,detached,279,347467.5836
48,Ballyedmond,Wexford,-6.337674,52.548307,325000,4,6,C2,detached,242,340786.6066
49,Wellington Bridge,Wexford,-6.7500898,52.2665276,285000,2,4,C3,detached,,283548.6059
50,Monageer,Wexford,-6.481662,52.529317,215000,3,4,C1,detached,130,316160.9694
51,Ballywilliam,Wexford,-6.865650026,52.44818414,249000,2,4,C2,detached,185,329456.0872
52,Rosslare Strand,Wexford,-6.395055,52.267504,495000,3,4,A1,detached,177,327210.466
53,Gorey,Wexford,-6.305091,52.674667,349000,6,10,C3,detached,418,377654.2861
54,Enniscorthy,Wexford,-6.572906,52.473159,200000,2,4,G,detached,129.9,316853.3452
